legacy_site,legacy_claim,disposition
Hedeby (Haithabu),One of the largest Norse emporia; dense human-animal cohabitation creates ideal conditions for zoonotic disease and intestinal parasite transmission.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Kaupang,Cemetery revisited with isotope analysis; evidence of high geographic mobility in the trading population; trade-route pathogen exposure.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Kopparsvik,14 out of 18 individuals with carious lesions — confirms the dental disease pattern documented at Varnhem across multiple sites.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Trondheim (Nidaros),Skeletal evidence of treponemal disease; TB documented in medieval Norwegian sample; high-violence regional context.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Hrísbrú (Mosfell Valley),~25% skeletal prevalence of TB lesions — consistent with epidemic-level transmission in a population exposed to a novel pathogen in an isolated environment.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Western Settlement (Sandnes),Abandoned ca. 1350–1400 CE; climate cooling drove collapse; isotope evidence of increasing reliance on seal diet as pastoral farming failed.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Faroe Islands,Stepping-stone settlement between Norway and Iceland; limited osteological study to date; pastoral and marine mixed subsistence.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Dublin (Dyflin),Norse-origin M. leprae strains confirmed by aDNA; isotope evidence confirms two Dublin leprosy cases grew up in Scandinavia — direct evidence of disease vectoring.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
York (Jorvik),"Coppergate excavations: intestinal parasites (whipworm, roundworm) recovered directly from Viking Age latrine deposits — some of the best parasitological evidence in the Norse world.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Orkney Islands,Highest marine isotope values of any post-Mesolithic UK population; clear sex-differentiated diet with males consuming significantly more marine protein.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Oxford (St. Brice's Day),"Smallpox (VARV) aDNA recovered from massacre victims (1002 CE); these Danish men carried an extinct clade of smallpox virus — pushing confirmed smallpox back 1,000 years.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Rouen (Normandy),Norse settler integration post-911 CE; limited Viking Age osteological study; leprosy well-documented in Norman period as Norse disease vectors dispersed westward.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Staraya Ladoga (Aldeigja),"Earliest confirmed Scandinavian presence in the east (ca. 750 CE); crossroads pathogen exposure from steppe, Baltic, and Nordic disease environments.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Novgorod (Holmgarðr),Hub of the Volga and Dnieper trade routes; systematic contact with steppe zoonotic disease ecology including potential brucellosis and plague reservoir zones.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Kyiv (Kœnugarðr),"Capital of Kievan Rus; diverse disease ecology from steppe, Byzantine, and Scandinavian contact zones; highest-risk environment on the eastern route.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Constantinople (Miklagarðr),"Destination of the Varangian Guard; Norse traders and soldiers exposed to Mediterranean disease ecology: plague, malaria, dysentery, typhoid fever.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
A Coruña / Galicia Coast,"First recorded Viking raid in Iberia, 844 CE; fleet repulsed by Ramiro I near the Tower of Hercules with heavy Norse losses. Raids continued into the 10th–11th century including the 968 CE sacking of Santiago de Compostela (Bishop Sisnando killed).",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Lisbon (al-Ushbuna),"Occupied for 13 days in 844 CE during the raid en route to Seville; raided again in subsequent Norse campaigns. Norse crews exposed to Iberian summer disease ecology, unfamiliar enteric pathogens, and intense heat.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Seville — Guadalquivir Marshes,Sacked Oct. 844 CE; Norse base established on Isla Menor in the Guadalquivir marshes — an endemic malaria zone. Norse crews with no prior Plasmodium exposure camped in marshland through autumn. Retaken by Umayyad forces Nov. 844 CE.,Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
Strait of Gibraltar / Björn Ironside,"859–860 CE expedition by Björn Ironside and Hastein passed the Strait of Gibraltar, raided the North African coast (Nekor, Morocco) and reached the western Mediterranean — the farthest Norse penetration into the Mediterranean disease world.",Removed from public record set: no record-level reviewed source and defensible sample denominator supplied in the legacy dataset.
